method_label,particle_radius_nm,contrast,noise_level,diffusion_true,diffusion_noisy,diffusion_processed,radius_true,radius_noisy,radius_processed,noise_estimate,contrast_estimate,figure_path
U-Net Denoised,2.5,0.6,0.1,0.09548299599811802,,0.08502738109911712,2.5698094930880484,,2.8858128566657646,,,figures/unet/one_particle_p_2.5_c_0.6_n_0.1.png
U-Net Denoised,2.5,0.6,0.3,0.10094256029541268,,0.08952945980121199,2.4308191591966466,,2.740696862119681,,,figures/unet/one_particle_p_2.5_c_0.6_n_0.3.png
U-Net Denoised,2.5,0.6,0.5,0.0963926468468843,,0.08498442807322894,2.5455583757775297,,2.887271410863882,,,figures/unet/one_particle_p_2.5_c_0.6_n_0.5.png
U-Net Denoised,2.5,0.8,0.1,0.09984731002992096,,0.09149587613484028,2.4574834261526077,,2.6817941956513747,,,figures/unet/one_particle_p_2.5_c_0.8_n_0.1.png
U-Net Denoised,2.5,0.8,0.3,0.08971998255215954,,0.08094305803797705,2.734876919997191,,3.0314287042296715,,,figures/unet/one_particle_p_2.5_c_0.8_n_0.3.png
U-Net Denoised,2.5,0.8,0.5,0.08598646712595567,,0.07679771136528774,2.8536247359136366,,3.1950575763558433,,,figures/unet/one_particle_p_2.5_c_0.8_n_0.5.png
U-Net Denoised,2.5,1.0,0.1,0.09455396163947119,,0.0863869079228325,2.5950590042968837,,2.840396947227677,,,figures/unet/one_particle_p_2.5_c_1.0_n_0.1.png
U-Net Denoised,2.5,1.0,0.3,0.10090451917983392,,0.09043425125789606,2.4317355807141134,,2.7132762878160905,,,figures/unet/one_particle_p_2.5_c_1.0_n_0.3.png
U-Net Denoised,2.5,1.0,0.5,0.10024556772146019,,0.08590842581672505,2.447720284514118,,2.8562170382207315,,,figures/unet/one_particle_p_2.5_c_1.0_n_0.5.png
U-Net Denoised,5.0,0.6,0.1,0.046727916499436924,,0.041513010717046946,5.251103150456293,,5.910751962003363,,,figures/unet/one_particle_p_5.0_c_0.6_n_0.1.png
U-Net Denoised,5.0,0.6,0.3,0.05137335951992658,,0.0461685250847966,4.776271434015856,,5.314727059046851,,,figures/unet/one_particle_p_5.0_c_0.6_n_0.3.png
U-Net Denoised,5.0,0.6,0.5,0.0509450809816905,,0.04777958501480082,4.8164239768828345,,5.135521990583256,,,figures/unet/one_particle_p_5.0_c_0.6_n_0.5.png
U-Net Denoised,5.0,0.8,0.1,0.05545173398921987,,0.05144963178647254,4.424985332147661,,4.769190779883616,,,figures/unet/one_particle_p_5.0_c_0.8_n_0.1.png
U-Net Denoised,5.0,0.8,0.3,0.056317567864262834,,0.05233468811129864,4.356955011549018,,4.688536769773502,,,figures/unet/one_particle_p_5.0_c_0.8_n_0.3.png
U-Net Denoised,5.0,0.8,0.5,0.0452644604293769,,0.042218863021372365,5.420877819305745,,5.811930781277485,,,figures/unet/one_particle_p_5.0_c_0.8_n_0.5.png
U-Net Denoised,5.0,1.0,0.1,0.045467200164764854,,0.041965126647191965,5.396705947480038,,5.847071822452621,,,figures/unet/one_particle_p_5.0_c_1.0_n_0.1.png
U-Net Denoised,5.0,1.0,0.3,0.05239253628615687,,0.04834721763375906,4.683360015332646,,5.075227108273485,,,figures/unet/one_particle_p_5.0_c_1.0_n_0.3.png
U-Net Denoised,5.0,1.0,0.5,0.04288218536419857,,0.04123601238882465,5.722029030481937,,5.95045678109628,,,figures/unet/one_particle_p_5.0_c_1.0_n_0.5.png
U-Net Denoised,10.0,0.6,0.1,0.02451050817141397,,0.022833782381905674,10.010935221270717,,10.746056235470409,,,figures/unet/one_particle_p_10.0_c_0.6_n_0.1.png
U-Net Denoised,10.0,0.6,0.3,0.024534639363165158,,0.022762279913349934,10.001088905869159,,10.779812500264617,,,figures/unet/one_particle_p_10.0_c_0.6_n_0.3.png
U-Net Denoised,10.0,0.6,0.5,0.023691267944345847,,0.02600998484996435,10.357111747706712,,9.433804400881387,,,figures/unet/one_particle_p_10.0_c_0.6_n_0.5.png
U-Net Denoised,10.0,0.8,0.1,0.023406549064713688,,0.022064849893619513,10.483096370424022,,11.120542887328064,,,figures/unet/one_particle_p_10.0_c_0.8_n_0.1.png
U-Net Denoised,10.0,0.8,0.3,0.02195760913258397,,0.021263577887836723,11.174855516502053,,11.53959652692368,,,figures/unet/one_particle_p_10.0_c_0.8_n_0.3.png
U-Net Denoised,10.0,0.8,0.5,0.02506411937714173,,0.025401449088484074,9.789815706361106,,9.659807544432315,,,figures/unet/one_particle_p_10.0_c_0.8_n_0.5.png
U-Net Denoised,10.0,1.0,0.1,0.026011059441513648,,0.024378391331987596,9.433414663334949,,10.065188724019318,,,figures/unet/one_particle_p_10.0_c_1.0_n_0.1.png
U-Net Denoised,10.0,1.0,0.3,0.02624750100709914,,0.025478121540857275,9.348436998938908,,9.630737852905133,,,figures/unet/one_particle_p_10.0_c_1.0_n_0.3.png
U-Net Denoised,10.0,1.0,0.5,0.024704779321297318,,0.024575062064607498,9.93221215835441,,9.984638447682018,,,figures/unet/one_particle_p_10.0_c_1.0_n_0.5.png
